UniqueCount	AmbigCount
1	1
3	1
2	1
7	0
2	0
3	6
4	7
3	0
5	4
2	4
4	10
0	10
0	1
0	4
3	4
0	1
0	0
6	0
16	0
0	0
4	0
5	0
0	0
3	0
3	0
9	0
0	0
5	1
0	0
0	0
0	0
0	0
0	0
5	0
0	0
1	0
1	0
0	0
0	0
1	0
0	0
0	0
13	0
0	0
1	0
0	0
1	0
3	0
0	0
0	0
0	0
15	0
0	0
1	0
1	0
0	0
0	0
2	0
0	0
27	0
1	0
0	0
4	0
0	0
29	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
16	0
0	0
0	0
1	0
3	0
3	0
0	0
0	0
1	0
4	1
0	1
1	0
1	14
1	1
6	0
0	2
1	2
1	2
6	0
3	0
1	0
0	1
1	1
0	0
0	0
25	0
1	1
1	0
0	0
0	0
0	0
0	0
0	8
2	8
9	0
0	0
18	0
5	2
61	0
0	0
7	0
6	6
1	2
1	0
8	14
2	2
6	0
2	0
0	0
0	0
4	0
0	0
0	0
20	0
8	12
11	3
5	0
3	0
3	0
28	0
0	0
4	0
6	6
2	0
0	1
0	0
0	0
0	0
2	1
0	1
0	1
0	0
0	0
2	2
7	11
1	11
1	2
0	0
7	0
0	0
1	0
3	0
3	0
0	0
1	0
0	0
0	0
0	0
0	0
2	2
1	3
0	5
0	4
1	2
1	3
0	2
0	6
1	1
0	2
3	0
3	0
2	0
0	3
1	0
0	0
0	1
3	1
4	0
10	5
6	6
1	42
3	29
2	19
0	29
6	31
2	34
1	30
1	3
3	17
0	17
0	34
54	5
43	0
2	2
0	0
6	5
17	3
0	0
0	1
0	2
0	2
0	0
0	0
0	0
1	2
3	0
4	1
5	0
12	1
0	26
15	26
0	6
0	10
0	20
5	10
6	13
0	21
0	30
0	11
1	18
0	41
20	19
7	10
0	11
0	40
0	40
5	30
2	28
0	34
14	10
2	2
0	3
8	3
3	10
8	3
5	10
0	3
24	3
14	1
0	5
1	1
0	186
7	146
23	85
94	0
6	116
5	42
7	45
0	448
6	72
24	397
5	400
116	33
287	141
4	69
0	278
9	218
0	424
297	21
10	13
2	44
0	4
11	41
2	4
1	45
2	1
1	20
5	18
46	1
0	15
0	2
0	28
0	15
1	46
0	2
0	41
0	33
5	25
1	4
7	5
1	1
6	6
0	21
1	27
0	11
0	13
0	0
1	1
1	5
0	7
8	8
1	1
8	4
0	0
2	0
38	0
19	4
2	3
0	1
0	3
1	4
0	3
0	5
1	5
1	2
0	2
0	2
1	2
6	51
0	51
48	6
11	17
0	0
90	16
6	54
1	1
55	27
17	6
1	12
33	12
10	51
0	13
0	29
0	16
0	11
0	12
18	33
23	1
3	5
2	5
21	5
0	3
9	8
10	8
0	6
0	4
7	17
0	1
2	8
0	12
12	2
2	19
7	13
0	9
6	2
0	5
1	4
28	3
3	3
0	0
10	0
11	56
1	54
1	2
1	0
6	1
0	1
1	1
0	0
4	64
0	168
